demand_id,vehicle_id,vehicle_no,depot,request_time,assigned_time,pickup_time,dropoff_time,call_waiting_time,pickup_waiting_time,service_travel_time,total_trip_time,work_start,work_end,actual_work_hours,pickup_node_id,dropoff_node_id,pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_depot_name,dropoff_depot_name
CL0000034050_june23_020,4,77라9905,향남차고지,07:25:11,08:00:00,09:18:21,11:16:05,34.81666666666667,78.35,117.73333333333333,230.9,08:00:00,17:00:00,8.0,329655.0,186323.0,127.06613534704124,37.20192531331036,126.63620754455944,37.37442362971698,동탄차고지,
CL0000018388_june23_019,23,70보5601,향남차고지,07:22:54,07:53:16,08:22:44,11:20:33,30.366666666666667,29.466666666666665,177.81666666666666,237.65,06:00:00,15:00:00,8.5,197215.0,331649.0,126.7577942555456,37.238795606909214,127.04441930505097,37.27458153643688,남양차고지,
CL0000013586_june23_099,20,76보5243,동탄차고지,10:39:08,10:39:08,11:05:57,11:21:45,0.0,26.816666666666666,15.8,42.61666666666667,08:00:00,17:00:00,8.0,331148.0,329096.0,127.0796456964893,37.21713985119504,127.04909514436578,37.21386803426587,동탄차고지,병점차고지
CL0000003415_june23_109,7,71머4612,동탄차고지,11:10:20,11:10:20,11:14:41,11:25:45,0.0,4.35,11.066666666666666,15.416666666666666,08:00:00,19:00:00,10.0,613404.0,613283.0,127.10382424854706,37.17478962242995,127.09878783825933,37.20286303741944,동탄차고지,동탄차고지
CL0000038183_june23_114,43,714머8632,동탄차고지,11:18:48,11:18:48,11:23:41,11:31:27,0.0,4.883333333333334,7.766666666666667,12.65,08:00:00,17:00:00,8.0,587626.0,613323.0,127.10711590281215,37.17606787597767,127.10928353356468,37.18209392955506,동탄차고지,동탄차고지
CL0000005469_june23_104,14,76보5216,동탄차고지,10:52:39,10:52:39,11:00:40,11:32:48,0.0,8.016666666666667,32.13333333333333,40.15,08:00:00,20:00:00,11.0,613069.0,330096.0,127.10669653032684,37.165980129529295,127.03810811994448,37.20842340631171,동탄차고지,병점차고지
CL0000027691_june23_100,25,70보5616,동탄차고지,10:43:21,10:43:21,11:10:10,11:33:45,0.0,26.816666666666666,23.583333333333332,50.4,10:00:00,19:00:00,8.0,331148.0,330082.0,127.0796456964893,37.21713985119504,127.03350130328177,37.20743827553049,동탄차고지,병점차고지
CL0000046238_june23_079,39,714머8653,동탄차고지,09:52:22,09:52:22,11:07:18,11:36:11,0.0,74.93333333333334,28.883333333333333,103.81666666666666,06:00:00,15:00:00,8.0,198809.0,198623.0,126.8087119533101,37.319487460391805,126.82121706720132,37.29173802162436,,남양차고지
CL0000035948_june23_112,52,728루4755,남양차고지,11:17:33,11:17:33,11:24:31,11:36:49,0.0,6.966666666666667,12.3,19.266666666666666,08:00:00,19:00:00,10.0,581211.0,196808.0,126.83455557393668,37.2092117237344,126.8156190578087,37.20889570574361,남양차고지,남양차고지
CL0000041404_june23_085,50,728루4754,봉담차고지,10:06:50,10:06:50,10:11:09,11:38:09,0.0,4.316666666666666,87.0,91.31666666666666,10:00:00,22:00:00,11.0,212371.0,210953.0,126.93953936363684,37.224723590916895,126.88237951142386,37.113150619748886,봉담차고지,향남차고지
CL0000009739_june23_088,54,714머8614,동탄차고지,10:14:39,10:14:39,10:23:49,11:40:54,0.0,9.166666666666666,77.08333333333333,86.25,08:00:00,19:00:00,10.0,613334.0,351856.0,127.10722361190916,37.18143073369984,127.12822374726191,37.32260265301458,동탄차고지,
